DZ2011,SIMD16_Quintile,SIMD16_HB_Quintile
S01007682,4,5
S01007683,5,5
S01007684,5,5
S01007685,5,5
S01007686,5,5
S01007687,5,5
S01007688,4,4
S01007689,4,4
S01007690,4,3
S01007691,4,4
S01007692,4,4
S01007693,3,2
S01007694,2,2
S01007695,3,2
S01007696,2,2
S01007697,3,2
S01007698,2,2
S01007699,1,1
S01007700,3,3
S01007701,1,1
S01007702,5,5
S01007703,3,3
S01007704,1,1
S01007705,2,1
S01007706,4,3
S01007707,3,3
S01007708,1,1
S01007709,1,1
S01007710,2,2
S01007711,2,1
S01007712,3,2
S01007713,1,1
S01007714,2,2
S01007715,1,1
S01007716,1,1
S01007717,1,1
S01007718,1,1
S01007719,1,1
S01007720,2,2
S01007721,2,2
S01007722,1,1
S01007723,1,1
S01007724,1,1
S01007725,1,1
S01007726,1,1
S01007727,1,1
S01007728,1,1
S01007729,1,1
S01007730,2,2
S01007731,2,2
S01007732,2,2
S01007733,4,3
S01007734,4,4
S01007735,4,4
S01007736,4,4
S01007737,3,3
S01007738,3,3
S01007739,3,2
S01007740,3,3
S01007741,2,1
S01007742,2,2
S01007743,1,1
S01007744,1,1
S01007745,1,1
S01007746,1,1
S01007747,1,1
S01007748,1,1
S01007749,4,4
S01007750,5,5
S01007751,4,4
S01007752,3,3
S01007753,2,1
S01007754,1,1
S01007755,1,1
S01007756,1,1
S01007757,5,5
S01007758,5,5
S01007759,2,2
S01007760,5,5
S01007761,5,5
S01007762,4,3
S01007763,2,2
S01007764,5,5
S01007765,5,5
S01007766,5,5
S01007767,5,5
S01007768,4,4
S01007769,4,5
S01007770,5,5
S01007771,5,5
S01007772,2,1
S01007773,5,5
S01007774,5,5
S01007775,4,4
S01007776,5,5
S01007777,5,5
S01007778,3,2
S01007779,3,3
S01007780,4,4
S01007781,3,3
S01007782,1,1
S01007783,1,1
S01007784,2,2
S01007785,1,1
S01007786,2,2
S01007787,2,1
S01007788,1,1
S01007789,1,1
S01007790,1,1
S01007791,4,3
S01007792,2,2
S01007793,1,1
S01007794,2,2
S01007795,2,2
S01007796,2,2
S01007797,1,1
S01007798,4,4
S01007799,4,3
S01007800,1,1
S01007801,1,1
S01007802,4,4
S01007803,1,1
S01007804,1,1
S01007805,1,1
S01007806,2,1
S01007807,3,3
S01007808,1,1
S01007809,5,5
S01007810,1,1
S01007811,1,1
S01007812,1,1
S01007813,1,1
S01007814,2,2
S01007815,4,4
S01007816,4,4
S01007817,2,2
S01007818,3,3
S01007819,3,3
S01007820,2,2
S01007821,4,3
S01007822,3,3
S01007823,4,4
S01007824,4,4
S01007825,4,4
S01007826,1,1
S01007827,3,2
S01007828,1,1
S01007829,2,2
S01007830,2,2
S01007831,1,1
S01007832,1,1
S01007833,2,2
S01007834,2,1
S01007835,3,3
S01007836,3,3
S01007837,5,5
S01007838,5,5
S01007839,2,2
S01007840,2,2
S01007841,2,1
S01007842,1,1
S01007843,1,1
S01007844,1,1
S01007845,1,1
S01007846,2,1
S01007847,1,1
S01007848,1,1
S01007849,1,1
S01007850,1,1
S01007851,3,2
S01007852,1,1
S01007853,1,1
S01007854,1,1
S01007855,1,1
S01007856,2,2
S01007857,1,1
S01007858,1,1
S01007859,1,1
S01007860,2,2
S01007861,1,1
S01007862,1,1
S01007863,1,1
S01007864,1,1
S01007865,5,5
S01007866,4,4
S01007867,4,4
S01007868,5,5
S01007869,5,5
